language,rows,mean_manipulative_score,manipulative_rate,review_rate,manipulative_count,review_count
lt,1019,0.04549264954631532,0.03631010794896958,0.014720314033366046,37,15
ka,35,0.0451531001499721,0.08571428571428572,0.02857142857142857,3,1
ia,161,0.04094943052493267,0.049689440993788817,0.018633540372670808,8,3
su,84,0.03986710593813941,0.047619047619047616,0.047619047619047616,4,4
lb,122,0.03666387620519419,0.02459016393442623,0.01639344262295082,3,2
io,127,0.03219674328180749,0.031496062992125984,0.015748031496062992,4,2
te,653,0.030891976349204094,0.027565084226646247,0.015313935681470138,18,10
ga,119,0.030193288787072448,0.03361344537815126,0.0,4,0
fy,143,0.029888973369465006,0.02097902097902098,0.006993006993006993,3,1
br,158,0.023387516601176203,0.0189873417721519,0.02531645569620253,3,4
dv,21,0.02288545880998884,0.0,0.0,0,0
mt,21,0.02224640619187128,0.0,0.0,0,0
km,174,0.017094897127699578,0.011494252873563218,0.005747126436781609,2,1
ie,96,0.011659701665242514,0.0,0.010416666666666666,0,1
an,183,0.011498769124348959,0.00546448087431694,0.00546448087431694,1,1
